emp no,Full Name,Net Hourly Rate,Gorss Monthly Rate,Percent Salary Hike
STAFF-2419,Ryan Rowe,67,9075,11
STAFF-2420,Beth Ware,53,12023,14
STAFF-2421,Michael Robbins,88,6762,22
STAFF-2422,Gloria Frederick,83,2261,16
STAFF-2423,Charles Jackson,54,18706,11
STAFF-2424,Eric Davidson,98,6527,14
STAFF-2425,Carol Jacobs,82,24439,16
STAFF-2426,Sean Peters,97,19305,15
STAFF-2427,Curtis Nguyen,60,10846,12
STAFF-2428,Jennifer Gordon,43,20392,20
STAFF-2429,Corey Foster,85,9277,17
STAFF-2430,Robert Houston,68,18235,12
STAFF-2431,Robert Ramirez,92,15891,20
STAFF-2432,Crystal Herrera,89,13888,20
STAFF-2433,Lauren Neal DDS,86,17491,13
STAFF-2434,Ryan Wheeler,90,11882,14
STAFF-2435,Anthony Contreras,67,23288,18
STAFF-2436,Jeanette Poole,57,15748,11
STAFF-2437,Kendra Edwards,98,6163,11
STAFF-2438,Kiara Francis,48,24232,11
STAFF-2439,Justin Scott,98,21057,15
STAFF-2440,Kyle Morrison,44,3567,12
STAFF-2441,Christina White,52,15395,11
STAFF-2442,Michele Wright,75,13953,14
STAFF-2443,Sean Riggs,54,5182,15
STAFF-2444,Jamie Farmer,61,19293,13
STAFF-2445,Robert Young,36,20497,13
STAFF-2446,Keith Mora,71,3449,21
STAFF-2447,Angela Owens,93,12477,11
STAFF-2448,Vicki Rangel,59,9731,11
STAFF-2449,Ashley Evans,73,20003,14
STAFF-2450,Mr. Joseph Bryant,98,7100,11
STAFF-2451,Whitney Ortega,51,25681,13
STAFF-2452,Lisa Williams,36,4050,12
STAFF-2453,Jennifer Fox,31,16616,14
STAFF-2454,William Jones,34,16542,18
STAFF-2455,Brandon Wilson,33,15411,15
STAFF-2456,Anna Berry,52,12250,12
STAFF-2457,Austin Anderson,98,17231,18
STAFF-2458,Lindsay Logan,33,8018,16
STAFF-2459,Heather Johnson,32,3987,19
STAFF-2460,Samuel Garcia,78,7103,13
STAFF-2461,William Rivera,62,10697,15
STAFF-2462,Robin Woodward,58,2437,11
STAFF-2463,Elizabeth Lopez,97,9192,13
STAFF-2464,Anthony Smith,75,15963,14
STAFF-2465,Michael White,77,23844,19
STAFF-2466,Elizabeth Clark,73,26849,11
STAFF-2467,Shelly Martin,97,4668,13
STAFF-2468,James Velasquez,81,3140,13
STAFF-2469,Lisa Rangel,74,16458,13
STAFF-2470,Bonnie Stevenson,78,26427,16
STAFF-2471,Sandra Mercer,79,9282,12
STAFF-2472,Jacob Mcfarland,68,8277,14
STAFF-2473,Adam Swanson,82,19655,14
STAFF-2474,Ashley Gaines,98,5220,11
STAFF-2475,Ruben Mullins,96,24609,18
STAFF-2476,Larry Curry,62,16031,12
STAFF-2477,Andrew Davis,47,10748,12
STAFF-2478,Susan Miller,52,9060,17
STAFF-2479,John Goodwin,91,10007,13
STAFF-2480,Alexander Reid,66,19332,12
STAFF-2481,Alan Anderson,59,5388,19
STAFF-2482,Brian Rush,50,21981,15
STAFF-2483,Sarah Graves,82,8192,11
STAFF-2484,Alexander Brown,81,22539,13
STAFF-2485,Samantha Davenport,53,22984,11
STAFF-2486,Cody Santiago,35,20338,12
STAFF-2487,Amanda Roberts,86,22490,17
STAFF-2488,Robert Crawford,54,17363,13
STAFF-2489,Katrina Schneider,99,3376,12
STAFF-2490,Jason Jones,71,9953,11
STAFF-2491,Jonathan Hall,39,7288,13
STAFF-2492,Bethany Strong,62,8952,12
STAFF-2493,Christopher Rodriguez,99,25605,17
STAFF-2494,James Cantrell,84,22102,14
STAFF-2495,Donna Burns,65,16530,12
STAFF-2496,Karen Andrews,86,3708,17
STAFF-2497,Tony West,67,15624,12
STAFF-2498,Mariah Gibson,40,16376,11
STAFF-2499,Brenda Ballard,87,26176,19
STAFF-2500,Misty Schneider,43,25412,17
STAFF-2501,Frank Williams,68,15696,15
STAFF-2502,Natalie Jones,80,25800,13
STAFF-2503,Ruth Smith,72,3498,16
STAFF-2504,Sierra Roberts,67,22474,11
STAFF-2505,Christian Fuller,82,26703,19
STAFF-2506,Robert Steele,93,23888,13
STAFF-2507,Ryan Reese DVM,42,22792,12
STAFF-2508,Jeffrey Allen,35,18783,17
STAFF-2509,April Alvarez,98,12549,14
STAFF-2510,Melvin Duke,93,8847,11
STAFF-2511,Stephanie Cole,94,19106,18
STAFF-2512,Julie Washington,64,2739,14
STAFF-2513,Robert Williams,32,9150,18
STAFF-2514,Ashley Krueger DDS,64,5411,12
STAFF-2515,Karl Ward,49,15919,13
STAFF-2516,Melissa Alvarez,51,12862,13
STAFF-2517,Abigail Duran,67,6152,11
STAFF-2518,Marcus Sellers,73,8489,14
STAFF-2519,Dana Horton,91,21195,19
STAFF-2520,Christopher Jones,48,17119,11
STAFF-2521,Tonya Mora,54,5652,19
STAFF-2522,Dustin Velazquez,45,7739,12
STAFF-2523,Catherine Vega,96,13693,14
STAFF-2524,Jorge Barber,73,12761,14
STAFF-2525,Timothy Gardner,47,21086,14
STAFF-2526,Dustin Rogers,100,5982,11
STAFF-2527,Jerry Higgins,100,14369,13
STAFF-2528,Sara Randolph,60,8828,11
STAFF-2529,Jesse Thompson,92,4258,14
STAFF-2530,Martin Chavez,78,3692,19
STAFF-2531,Chad Smith,51,11380,12
STAFF-2532,Francis Mendez,89,20328,16
STAFF-2533,Steven Suarez,84,11262,15
STAFF-2534,Amy Sullivan,91,13402,14
STAFF-2535,Sherri Roach,94,12695,19
STAFF-2536,Lisa Smith,67,22589,11
STAFF-2537,Jared Bonilla,98,13494,13
STAFF-2538,Donald Diaz,48,24032,19
STAFF-2539,Bryan Meyers,89,26997,14
STAFF-2540,Sara Mason,90,16379,12
STAFF-2541,Mark Garcia,73,21447,13
STAFF-2542,David Thomas DVM,31,13251,19
STAFF-2543,Deborah Sellers,51,7439,15
STAFF-2544,Christina Powers,32,25353,12
STAFF-2545,Allison Cooper,30,21378,18
STAFF-2546,Dr. Angela Fuller DDS,50,23333,15
STAFF-2547,Laura Clayton,80,8191,12
STAFF-2548,Jose Hughes,43,10494,15
STAFF-2549,Samuel Fuller,100,7129,13
STAFF-2550,Charles Brown,60,20794,19
STAFF-2551,Steven Pierce,90,24442,14
STAFF-2552,Peter Young,55,25178,11
STAFF-2553,Randy Paul,64,7152,13
STAFF-2554,Matthew Lopez,81,23099,11
STAFF-2555,Kara Johnson,90,6194,15
STAFF-2556,John Anderson,59,20439,12
STAFF-2557,Nancy Caldwell,64,2125,18
STAFF-2558,Dr. Jacob Bennett,62,25174,14
STAFF-2559,Heather Zuniga,52,24978,13
STAFF-2560,Dr. Juan Miller,74,3787,19
STAFF-2561,William King,65,17674,14
STAFF-2562,Diana Henry,90,7973,14
STAFF-2563,Timothy Lee,49,2122,14
STAFF-2564,Jeffrey Delgado,84,25470,14
STAFF-2565,Holly Richardson,37,14811,12
STAFF-2566,Gerald Tucker,87,15302,13
STAFF-2567,Shannon Ortiz,40,19788,15
STAFF-2568,Jamie Ferguson,52,24162,15
STAFF-2569,Patricia Morrison,87,3536,11
STAFF-2570,Brian Berg,98,25166,15
STAFF-2571,Mary Shaw,71,14814,11
STAFF-2572,Jessica Lane,59,2097,14
STAFF-2573,Denise Contreras,87,24483,19
STAFF-2574,Sean Russell,42,17000,13
STAFF-2575,Alec Simpson,71,11929,14
STAFF-2576,Margaret Quinn,91,20284,14
STAFF-2577,Hannah Lynch,77,4973,17
STAFF-2578,Dakota Green,42,13738,15
STAFF-2579,Perry Jacobson,40,7003,13
STAFF-2580,Elizabeth Hunter,72,14284,11
STAFF-2581,Frank Williams,56,17360,13
STAFF-2582,Sydney Anderson,61,7102,18
STAFF-2583,John Hull,41,12290,17
STAFF-2584,Tracy Hudson,92,15332,14
STAFF-2585,Daniel Barber,90,9867,15
STAFF-2586,Steven Washington,44,14511,12
STAFF-2587,Kerri Harrison,60,19944,11
STAFF-2588,Kenneth Fisher,87,6297,13
STAFF-2589,Olivia Mosley,83,19188,18
STAFF-2590,Meagan Ball,31,7677,14
STAFF-2591,Natasha Bowers,63,13243,14
STAFF-2592,Robert White,54,17456,14
STAFF-2593,Jennifer Johnston,55,11827,14
STAFF-2594,Justin Moore,54,21602,13
STAFF-2595,Curtis Crawford,79,26075,13
STAFF-2596,James Wyatt,89,12832,13
STAFF-2597,Robert Reyes,87,15434,11
STAFF-2598,Christopher Rogers,51,9769,13
STAFF-2599,Patrick Bright,97,5033,13
STAFF-2600,Matthew Singh,94,23737,12
STAFF-2601,Lance Ochoa,72,12530,14
STAFF-2602,Stephanie Rodriguez,98,18991,11
STAFF-2603,Charles Carpenter,89,18624,11
STAFF-2604,Krystal Aguilar,76,10302,15
STAFF-2605,Kyle King III,68,8045,14
STAFF-2606,Tina Roy,82,19989,14
STAFF-2607,David Smith,87,5855,12
STAFF-2608,Marcus Webb,71,14293,19
STAFF-2609,Maria Woods,81,12414,13
STAFF-2610,Lisa Rush,35,20948,14
STAFF-2611,Laura Lowe,93,21143,17
STAFF-2612,Linda Moore,67,16290,11
STAFF-2613,Walter Cooper,45,25518,13
STAFF-2614,Daniel Morrison,66,20933,12
STAFF-2615,Thomas Fry,91,3622,13
STAFF-2616,Robert Cobb,57,10036,14
STAFF-2617,Mark Adkins,41,5141,14
STAFF-2618,Curtis Baker,56,17312,11
STAFF-2619,Jonathan Prince,47,3031,17
STAFF-2620,Brenda Robinson,91,7679,14
STAFF-2621,Emily Holt,48,26312,11
STAFF-2622,Linda Hardin MD,82,10228,12
STAFF-2623,Joseph Hernandez,48,3458,15
STAFF-2624,Rhonda Byrd,91,13583,12
STAFF-2625,Steven Price,76,4077,13
STAFF-2626,Jennifer Wolfe,89,6225,12
STAFF-2627,Carly Martin,96,21534,14
STAFF-2628,Diana Ford,30,16873,17
STAFF-2629,Tamara Ramirez,81,4910,11
STAFF-2630,Heather Benton,74,10205,12
STAFF-2631,Joyce Meyer,91,9696,16
STAFF-2632,Megan Nelson,48,5348,12
STAFF-2633,David Howard,57,11912,14
STAFF-2634,Mrs. Kathryn Ward,41,6073,11
STAFF-2635,Samantha Hudson,69,18103,14
STAFF-2636,William Shaffer,33,3811,12
STAFF-2637,Ariel Garrett,45,13008,17
STAFF-2638,Todd James,78,9364,15
STAFF-2639,Joseph Wilkerson,68,24052,14
STAFF-2640,Lawrence Cobb,63,7713,18
STAFF-2641,Jacob Davis,83,14842,13
STAFF-2642,Michael Smith,82,5531,11
STAFF-2643,Amy Mcdonald,58,9128,16
STAFF-2644,Peter Taylor,62,17616,16
STAFF-2645,Stephanie Anderson,42,21457,15
STAFF-2646,Martin Mcdonald,32,22074,13
STAFF-2647,Thomas Nelson,49,5151,16
STAFF-2648,James Cruz,90,6076,19
STAFF-2649,Kimberly Johnson,45,12826,16
STAFF-2650,Timothy Rodriguez,80,7419,14
STAFF-2651,Nathaniel King,83,4060,19
STAFF-2652,Cheryl Kim,95,5696,18
STAFF-2653,Rachel Cox,46,25348,17
STAFF-2654,Lisa Smith,96,3173,14
STAFF-2655,Pamela Williams,91,22376,18
STAFF-2656,Tony Travis,76,3835,13
STAFF-2657,Michele Hernandez,79,13637,18
STAFF-2658,Melissa Torres,60,19805,12
STAFF-2659,Juan Stewart,85,26493,17
STAFF-2660,Rachel Turner,62,6217,15
STAFF-2661,Dawn Miranda,37,22604,16
STAFF-2662,Greg Williams,77,10950,11
STAFF-2663,Tracy Valencia,97,24812,14
STAFF-2664,Timothy Kane,35,22061,13
STAFF-2665,Scott Grimes,52,5340,13
STAFF-2666,Kelsey Gonzalez,45,14120,12
STAFF-2667,Robert Smith,48,18698,19
STAFF-2668,Dana Fuentes,85,15530,12
STAFF-2669,Amber Chen,52,2725,14
STAFF-2670,Krista Anderson,95,20006,13
STAFF-2671,Anthony Hernandez,34,9697,14
STAFF-2672,Elizabeth Cooper,36,22384,14
STAFF-2673,Mario Ramirez,97,26009,18
STAFF-2674,Jeffrey Kemp,100,23577,12
STAFF-2675,Melissa Jones DDS,68,21731,19
STAFF-2676,Steven Nash,44,24152,13
STAFF-2677,Brittney White,59,19384,14
STAFF-2678,Jonathan Hopkins,78,11288,14
STAFF-2679,Susan Lindsey,49,21158,13
STAFF-2680,Jessica Fleming,81,13624,13
STAFF-2681,Melissa Bartlett,63,17624,12
STAFF-2682,Christine Cox,78,13672,13
STAFF-2683,Natalie Hanson,39,19764,12
STAFF-2684,Samuel Velazquez,31,8386,18
STAFF-2685,Angela Marshall,94,3088,11
STAFF-2686,Jeffery Clark,57,12227,11
STAFF-2687,Michael Norris,39,22914,18
STAFF-2688,Alex Lucas,77,23757,14
STAFF-2689,Pamela Atkins,93,3921,14
STAFF-2690,Kendra Knapp,96,24795,11
STAFF-2691,Mark Cummings,47,19345,12
STAFF-2692,Carla Adams,46,10589,13
STAFF-2693,Cheryl Velez,54,6393,19
STAFF-2694,Maureen Macdonald,51,20943,19
STAFF-2695,Stephen Lucas,68,18024,14
STAFF-2696,Christopher Young,71,15975,16
STAFF-2697,Taylor Jackson,33,17799,12
STAFF-2698,Steven Huff,80,12355,11
STAFF-2699,Brenda Munoz,80,3840,13
STAFF-2700,Ellen Torres,76,16192,13
STAFF-2701,Kristina Sharp,97,23343,12
STAFF-2702,Christopher Oneill,38,4658,11
STAFF-2703,Derrick Silva,46,8800,14
STAFF-2704,Ashley Moore,33,16822,16
STAFF-2705,Amanda Contreras,86,7636,15
STAFF-2706,Tiffany Murphy,96,2939,15
STAFF-2707,Colleen Sullivan,59,11473,14
STAFF-2708,Benjamin Kirby,77,25098,12
STAFF-2709,Tyler Cain,88,4349,14
STAFF-2710,Amy Gardner,43,10410,14
STAFF-2711,Kevin Young,42,23413,11
STAFF-2712,Thomas Kelly,46,9125,13
STAFF-2713,Ms. Anna Morrow,81,15891,18
STAFF-2714,Timothy Newman,54,21082,11
STAFF-2715,Melissa Miller,84,23490,18
STAFF-2716,Cheryl Carter,35,15869,12
STAFF-2717,Tara Shaw,44,5099,14
STAFF-2718,Elizabeth Griffin,56,3156,15
STAFF-2719,Jacqueline Gibbs,85,10293,14
STAFF-2720,Mary Riddle,58,18115,16
STAFF-2721,Christopher Stephens,32,17218,13
STAFF-2722,Matthew Caldwell,53,19826,14
STAFF-2723,Terry Underwood,44,4167,18
STAFF-2724,Brent Castro,31,16642,16
STAFF-2725,Kelsey Jordan,31,3549,14
STAFF-2726,Dawn Morse,92,19271,12
STAFF-2727,Jamie Smith,74,24941,16
STAFF-2728,David Hill,59,17536,11
STAFF-2729,Jose Harvey,44,25388,11
STAFF-2730,Michael Kelly,90,14908,13
STAFF-2731,Bridget Shelton,92,5041,16
STAFF-2732,Kristen Liu,95,21653,13
STAFF-2733,Dennis Atkinson,41,11652,19
STAFF-2734,Lee Hill,96,14810,19
STAFF-2735,Bradley Smith,54,14199,19
STAFF-2736,Jenna Griffin,76,12421,12
STAFF-2737,Jeffrey Kennedy,51,4223,16
STAFF-2738,Erin Walker,50,23447,14
STAFF-2739,Sophia Joyce,77,25198,19
STAFF-2740,Dylan Landry,84,19948,15
STAFF-2741,Corey Walsh,81,26458,13
STAFF-2742,Dustin Martinez,86,20115,11
STAFF-2743,William Sloan,55,13586,11
STAFF-2744,Brittany Lang,75,16495,12
STAFF-2745,James Boyd,63,6060,13
STAFF-2746,Tiffany Mitchell,78,24200,17
STAFF-2747,Devin Stevenson,72,11761,13
STAFF-2748,Jose Snyder,42,15211,12
STAFF-2749,Devin Osborne,99,20763,16
STAFF-2750,Veronica Smith,72,8841,18
STAFF-2751,Amanda Hayes,48,3995,13
STAFF-2752,Melanie Ramirez,77,8989,15
STAFF-2753,Jack Ferguson,87,12313,14
STAFF-2754,Allison Sutton,37,10503,11
STAFF-2755,Hannah Matthews,88,5224,11
STAFF-2756,Joshua Lynch,87,21624,14
STAFF-2757,Alexandra Kelly,86,26496,15
STAFF-2758,Joshua Hernandez,80,19711,13
STAFF-2759,Sean Frazier,41,20689,15
STAFF-2760,Zachary Benton,40,18611,14
STAFF-2761,Julia Williamson,80,24594,14
STAFF-2762,Marisa Perkins,79,13970,14
STAFF-2763,Courtney Carter,86,19719,18
STAFF-2764,Hayden Jenkins,88,24450,13
STAFF-2765,James Cantrell,70,23060,12
STAFF-2766,Kelly Fisher,42,19255,12
STAFF-2767,Sabrina Sullivan,71,25811,18
STAFF-2768,Adriana Johns,95,19863,18
STAFF-2769,John Washington,46,14218,17
STAFF-2770,Pedro Smith,35,11189,17
STAFF-2771,Richard Dixon,57,7298,19
STAFF-2772,Alicia Randall,90,5561,12
STAFF-2773,Ashley Perry,30,16143,16
STAFF-2774,Chris Davis,60,24539,16
STAFF-2775,Frank Cuevas,79,22949,12
STAFF-2776,Olivia Sims,46,23679,13
STAFF-2777,Tyler Arnold,90,25949,13
STAFF-2778,Nicholas Adams,43,20232,11
STAFF-2779,Edward Mcguire,55,14720,18
STAFF-2780,Austin Villarreal,97,5586,14
STAFF-2781,Tamara Barber,87,16213,18
STAFF-2782,Clayton Elliott,42,13422,12
STAFF-2783,Stefanie Hughes,69,22049,17
STAFF-2784,Tyler Andrews,43,3356,13
STAFF-2785,Lindsey Ford,74,5596,12
STAFF-2786,Alexander Mitchell,77,2900,12
STAFF-2787,Logan Bentley,64,12288,14
STAFF-2788,Christina Rollins,59,19519,16
STAFF-2789,Benjamin Miller,73,6069,17
STAFF-2790,Christopher Smith MD,64,24444,13
STAFF-2791,Glenn Fuller,58,25479,11
STAFF-2792,Kathy Williams,80,11591,16
STAFF-2793,Whitney Montoya DVM,40,26862,20
STAFF-2794,Willie Parker,67,19665,22
STAFF-2795,Jacqueline Morgan,87,24456,20
STAFF-2796,Cristian Fox,42,23826,22
STAFF-2797,James Anderson,30,6670,20
STAFF-2798,Candice Woods,56,6595,21
STAFF-2799,John Curry,39,20460,21
STAFF-2800,Alexander Santos,89,11133,21
STAFF-2801,Bryan Henry,60,5640,23
STAFF-2802,Brenda Adams,90,10494,22
STAFF-2803,Ruben Wilson,91,18685,25
STAFF-2804,Katrina Lyons,43,23070,25
STAFF-2805,Jonathon Silva,67,12719,25
STAFF-2806,Mr. Brian Dunn,36,7018,21
STAFF-2807,Rachel Wallace,54,26841,21
STAFF-2808,Lauren Bridges,98,26204,23
STAFF-2809,John King,95,8978,21
STAFF-2810,Robert Mcbride,57,26236,21
STAFF-2811,Brandi Spears,66,9238,22
STAFF-2812,Cindy Downs,74,3395,23
STAFF-2813,Belinda Craig,38,6161,22
STAFF-2814,Sarah Frazier,76,11925,20
STAFF-2815,Valerie Vazquez,52,22577,22
STAFF-2816,John Smith,88,10436,24
STAFF-2817,William Roberts,94,4223,21
STAFF-2818,Sarah Fuller,36,18079,20
STAFF-2819,Kelli Molina,48,5771,21
STAFF-2820,Elizabeth Kelly,89,5602,25
STAFF-2821,Harry Gilbert,92,19246,20
STAFF-2822,Sherry Santiago,46,15428,21
STAFF-2823,Henry Duffy,92,20467,20
STAFF-2824,Nancy Marks,79,26308,20
STAFF-2825,Chelsea Davidson,94,20520,20
STAFF-2826,Destiny Lee,57,8952,22
STAFF-2827,Shane Wade,66,7693,21
STAFF-2828,Jesus Moore,87,12315,25
STAFF-2829,Kathy Phillips,98,7975,20
STAFF-2830,Tonya Smith,93,2721,24
STAFF-2831,Alicia Thompson,65,3525,24
STAFF-2832,Christine Olsen,76,21412,22
STAFF-2833,Stephen Chapman,97,4585,20
STAFF-2834,James Santana,84,13084,23
STAFF-2835,Thomas Navarro,65,7914,21
STAFF-2836,Adam Hughes,64,21072,25
STAFF-2837,Michelle Jackson PhD,56,10138,24
STAFF-2838,Bryce Mooney,93,26362,22
STAFF-2839,Margaret Boyd,60,23037,21
STAFF-2840,Andrew Sanchez,92,22128,21
STAFF-2841,Sandra Black,32,6770,21
STAFF-2842,Sarah Cole,60,22308,20
STAFF-2843,Martin Austin,36,16130,25
STAFF-2844,Wendy Richardson MD,42,15471,25
STAFF-2845,Taylor Perry,76,22456,21
STAFF-2846,James Brown,73,19573,22
STAFF-2847,Eric Rodriguez,85,13684,22
STAFF-2848,Crystal Parker,77,4244,20
STAFF-2849,Eric Costa,38,17381,21
STAFF-2850,Mrs. Jennifer Clark MD,87,5174,20
STAFF-2851,Aaron Sutton,78,13588,22
STAFF-2852,Renee Chambers,55,4944,25
STAFF-2853,Amy Black,70,17001,21
STAFF-2854,Daniel Kelly,66,9732,11
STAFF-2855,Michael Chan,58,19555,12
STAFF-2856,Mark Lindsey,100,8931,11
STAFF-2857,William Watson,33,4156,12
STAFF-2858,Steven Logan,51,17485,11
STAFF-2859,Dave Mccormick,50,16154,12
STAFF-2860,Frank Johnston,52,3072,15
STAFF-2861,Charles Wright,78,14618,16
STAFF-2862,Jennifer Herman,34,22262,12
STAFF-2863,Zachary Ballard,52,14630,13
STAFF-2864,Tanya Ellison,93,6208,17
STAFF-2865,Miranda Bright,38,5355,11
STAFF-2866,Shannon Johnson,94,14255,12
STAFF-2867,Nicholas Becker,82,24164,11
STAFF-2868,Denise Mckenzie,92,15747,15
STAFF-2869,David Woods,33,26956,19
STAFF-2870,James Cochran,45,10642,17
STAFF-2871,Jordan White,89,21495,17
STAFF-2872,Darryl Parker,58,11585,11
STAFF-2873,Lisa Horne,32,18779,12
STAFF-2874,Taylor Williams,72,3666,11
STAFF-2875,Jonathan Mcmillan,81,7653,11
STAFF-2876,Dana Hicks,100,7568,13
STAFF-2877,Kathy Velasquez,97,10261,16
STAFF-2878,Kimberly Jordan,86,21831,14
STAFF-2879,Angela Bell,58,4992,15
STAFF-2880,Lance Calhoun,95,24852,12
STAFF-2881,Brad Miller,52,15986,11
STAFF-2882,Annette Harrell,68,15182,12
STAFF-2883,Nicolas Gonzales,55,21530,17
STAFF-2884,Barbara Allison,64,5323,11
STAFF-2885,Angela Murray,70,19002,13
STAFF-2886,Preston Mckinney,34,12147,15
STAFF-2887,Jennifer Morrison,31,4567,13
STAFF-2888,Shannon Greer,89,16019,13
STAFF-2889,Kimberly Jones,47,15318,14
STAFF-2890,Elizabeth Moreno,84,22930,12
STAFF-2891,Angela Snyder,95,11740,11
STAFF-2892,Paul Ortiz,70,18420,12
STAFF-2893,Christopher James,69,6889,11
STAFF-2894,Shari Lloyd,69,26619,12
STAFF-2895,Meghan Miller,79,15999,17
STAFF-2896,Kelly Taylor,84,23352,11
STAFF-2897,Sydney Warner,99,11092,12
STAFF-2898,Kimberly Frederick,94,21081,13
STAFF-2899,Barbara Valdez,38,15587,16
STAFF-2900,Patricia Brown,89,16998,11
STAFF-2901,Molly Hall,63,21075,11
STAFF-2902,Laurie Jones,56,3157,15
STAFF-2903,Michele Williams,36,26124,14
STAFF-2904,Sharon Johnson,51,7324,17
STAFF-2905,Todd Brooks,73,3339,14
STAFF-2906,Michael Estes,93,20586,11
STAFF-2907,William Mccoy,39,16586,13
STAFF-2908,Donald Bradley,59,22098,14
STAFF-2909,Michelle Jordan,96,8658,13
STAFF-2910,Taylor Carpenter,66,5843,13
STAFF-2911,Patrick Jensen,82,26186,12
STAFF-2912,Beth Tran,84,13492,18
STAFF-2913,Mr. Carlos Jordan,66,10842,22
STAFF-2914,Ashley Riley,64,14011,21
STAFF-2915,Janice Higgins,97,22710,20
STAFF-2916,Brianna Sanford,54,17181,23
STAFF-2917,Matthew Woods,40,7815,23
STAFF-2918,Justin Hall,74,10092,20
STAFF-2919,Melissa Kim,85,14460,23
STAFF-2920,Garrett Sheppard,73,14753,24
STAFF-2921,Justin Herman,36,10414,24
STAFF-2922,Laura Davis,75,26092,23
STAFF-2923,Christopher Manning,99,25103,21
STAFF-2924,Steven Bishop,99,25103,21
STAFF-2925,Antonio Molina,99,25103,21
